start,end,labels,filepath
18432,26720,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/7c8e816f.wav
0,8288,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/1455fb90.wav
20480,28768,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/8c1b810e.wav
2048,10336,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/6f415676.wav
1024,9312,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/378c1422.wav
2048,10336,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/22ceb5f3.wav
26624,34912,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/7c8e816f.wav
2048,10336,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/7cfbe54e.wav
4096,12384,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/f02f76d2.wav
0,8288,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/d8b54599.wav
12288,20576,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/ff73071c.wav
5120,13408,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/426cb55c.wav
0,8288,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/971cc0ab.wav
5120,13408,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/25d724b3.wav
8192,16480,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/7da163b8.wav
5120,13408,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/4addd0bc.wav
3072,11360,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/b75cfef8.wav
1024,9312,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/4a43ed72.wav
0,8288,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/9f1eb7a0.wav
7168,15456,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/217b2978.wav
4096,12384,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/aaa33b0c.wav
1024,9312,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/9fb6e634.wav
4096,12384,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/63a6481d.wav
22528,30816,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/ef3c07ab.wav
3072,11360,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/f71a6456.wav
13312,21600,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/45f302f7.wav
2048,10336,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/64f50c86.wav
1024,9312,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/03815f4c.wav
16384,24672,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/a1da472c.wav
0,8288,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/d8e743e5.wav
7168,15456,Accelerating_and_revving_and_vroom,/media/ren/crucial/Projects/freesound_audio_tagging/data/train_curated/0c2c5c75.wav
